C/A,UNIT,SCP,STATION, LINENAME, DIVISION, DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
A031,R083,00-00-00,23 ST,NRW,BMT,05/28/2017,00:00:00,REGULAR,0005617286,0002800769                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/28/2017,04:00:00,REGULAR,0005617356,0002800778                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/28/2017,08:00:00,REGULAR,0005617378,0002800800                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/28/2017,12:00:00,REGULAR,0005617492,0002800911                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/28/2017,16:00:00,REGULAR,0005617889,0002801041                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/28/2017,20:00:00,REGULAR,0005618284,0002801184                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/29/2017,00:00:00,REGULAR,0005618518,0002801244                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/29/2017,04:00:00,REGULAR,0005618561,0002801246                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/29/2017,08:00:00,REGULAR,0005618572,0002801273                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/29/2017,12:00:00,REGULAR,0005618675,0002801344                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/29/2017,16:00:00,REGULAR,0005618971,0002801483                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/29/2017,20:00:00,REGULAR,0005619324,0002801608                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/30/2017,00:00:00,REGULAR,0005619532,0002801637                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/30/2017,04:00:00,REGULAR,0005619565,0002801639                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/30/2017,08:00:00,REGULAR,0005619603,0002801804                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/30/2017,12:00:00,REGULAR,0005619901,0002802479                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/30/2017,16:00:00,REGULAR,0005620496,0002802695                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/30/2017,20:00:00,REGULAR,0005621720,0002803015                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/31/2017,00:00:00,REGULAR,0005622189,0002803070                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/31/2017,04:00:00,REGULAR,0005622231,0002803078                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/31/2017,08:00:00,REGULAR,0005622275,0002803260                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/31/2017,12:00:00,REGULAR,0005622634,0002803992                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/31/2017,16:00:00,REGULAR,0005623240,0002804257                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/31/2017,20:00:00,REGULAR,0005624404,0002804576                                                
A031,R083,00-00-00,23 ST,NRW,BMT,06/01/2017,00:00:00,REGULAR,0005624921,0002804653                                                
A031,R083,00-00-00,23 ST,NRW,BMT,06/01/2017,04:00:00,REGULAR,0005624989,0002804659                                                
A031,R083,00-00-00,23 ST,NRW,BMT,06/01/2017,08:00:00,REGULAR,0005625043,0002804822                                                
